start_year,end_year,code,label,city,state,notes,review_flag
1980,2026,4047,Rose City Cemetery and Funeral Home,Portland,OR,,FALSE
1980,2026,4049,Groulx Family Mortuary,Rainier,OR,,FALSE
1980,2026,4051,Hughes-Ransom Cremation and Mortuaries,Astoria,OR,,FALSE
1980,2026,4052,Lincoln Memorial Park & Funeral Home,Portland,OR,,FALSE
1980,2026,4054,Mt. Scott Funeral Home,Portland,OR,,FALSE
1980,2026,4057,"Ross Hollywood Chapel, Killingsworth St John's Lombard Little Chapel of the Chimes",Portland,OR,,FALSE
1980,2026,4058,"Spencer, Libby and Powell Funeral Home",The Dalles ,OR,,FALSE
1980,2026,4060,Sunnyside Little Chapel of the Chimes,Happy Valley ,OR,,FALSE
1980,2026,4072,Riverview Abbey Funeral Home,Portland,OR,,FALSE
1980,2026,4078,"Fuiten, Rose & Hoyt Funeral Home",Forest Grove,OR,,FALSE
1980,2026,4079,Keizer Funeral Chapel,Keizer,OR,,FALSE
1980,2026,4087,Stehn Family Funeral Homes,Milwaukie,OR,,FALSE
1980,2026,4089,Peake Funeral Chapel ,Milwaukie,OR,,FALSE
1980,2026,4093,Estacada Funeral Chapel,Estacada,OR,,FALSE
1980,2026,4099,Oregon Cremation Company,Happy Valley,OR,,FALSE
1980,2026,4101,"Autumn Funerals, Cremation and Burial",Tigard,OR,,FALSE
1980,2026,4102,"Crown Memorial Center, Cremation & Burial - Milwaukie",Milwaukie,OR,,FALSE
1980,2026,4103,Neptune Cremation Service,Happy Valley,OR,,FALSE
1980,2026,4105,Valley Memorial Park Funeral Home,Hillsboro,OR,,FALSE
1980,2026,4106,First Call Mortuary Services,Portland,OR,,FALSE
1980,2026,4108,City View Funeral Home,Salem,OR,,FALSE
1980,2026,4109,Tami's Pine Valley Funeral Home,Halfway,OR,,FALSE
1980,2026,4110,Eternal Hills Memorial Gardens & Funeral Home,Klamath Falls,OR,,FALSE
1980,2026,4111,Klamath Tribute Center,Klamath Falls,OR,,FALSE
1980,2026,4112,Portland Cremation Center LLC.,Portland,OR,,FALSE
1980,2026,4113,"Crown Memorial Center, Cremation & Burial  - Tualatin",Tualatin,OR,,FALSE
1980,2026,4114,Alternative Burial & Cremation,Tualatin,OR,,FALSE
1980,2026,4115,Cascade Decedent Care,Tualatin,OR,,FALSE
1980,2026,4116,Gresham Memorial Chapel,Gresham,OR,,FALSE
1980,2026,4118,McHenry Funeral Home,Corvallis,OR,,FALSE
1980,2026,4119,Care Cremation Service,Gresham,OR,,FALSE
1980,2026,4120,National Cremation Service,Tigard,OR,,FALSE
1980,2026,4121,Aftercare Cremation and Burial Service,Gresham,OR,,FALSE
1980,2026,4122,Family Memorial Mortuary,Gresham,OR,,FALSE
1980,2026,4123,Hughes-Ransom Cremation and Mortuary,Seaside,OR,,FALSE
1980,2026,4130,Canby Funeral Chapel,Canby,OR,,FALSE
1980,2026,4131,Hillside Chapel,Oregon City,OR,,FALSE
1980,2026,4132,Columbia Funeral Home - Oregon,St Helens,OR,,FALSE
1980,2026,4133,Portland Mortuary Services,Portland,OR,,FALSE
1980,2026,4134,Molalla Funeral Chapel,Molalla,OR,,FALSE
1980,2026,4135,Donelson Funeral Chapel & Cremation Services,Hillsboro,OR,,FALSE
1980,2026,4136,"Threadgill's Memorial Services, LLC",Beaverton,OR,,FALSE
1980,2026,4137,Hustad Funeral Home,Portland,OR,,FALSE
1980,2026,4138,Springer and Son Aloha Funeral Home,,WA,,FALSE
1980,2026,4138,Affordable Funeral Alternatives,Gresham,OR,,FALSE
1980,2026,4139,Springer and Son Aloha Funeral Home,Aloha,OR,,FALSE
1980,2026,4140,Gray's West & Co. Pioneer Chapel,Baker City,OR,,FALSE
1980,2026,4141,Coles Tribute Center,Baker City,OR,,FALSE
1980,2026,4142,Driskill Memorial Chapel,John Day,OR,,FALSE
1980,2026,4143,River View Cemetery Funeral Home,Portland,OR,,FALSE
1980,2026,4144,Young's Funeral Home,Tigard,OR,,FALSE
1980,2026,4145,Simon - Cornwell Colonial Chapel,Woodburn,OR,,FALSE
1980,2026,4145,Adamson's Sheridan Funeral Home,Sheridan,OR,,FALSE
1980,2026,4146,Cornwell Colonial Chapel,Wilsonville,OR,,FALSE
1980,2026,4147,"Crown Memorial Center, Cremation & Burial - Salem",Salem,OR,,FALSE
1980,2026,4147,Restlawn Funeral Home,Salem,OR,,FALSE
1980,2026,4148,Cornerstone Funeral Services,Boring,OR,,FALSE
1980,2026,4149,Westside Cremation and Burial Service,Beaverton,OR,,FALSE
1980,2026,4149,"Crown Memorial Center, Cremation & Burial - Eastside",Portland,OR,,FALSE
1980,2026,4150,Tualatin Valley Funeral Alternatives,Hillsboro,OR,,FALSE
1980,2026,4150,Portland Funeral Service,Portland,OR,,FALSE
1980,2026,4151,"Crown Memorial Center, Cremation & Burial - Tigard",Tigard,OR,,FALSE
1980,2026,4152,Weddle Funeral Service,Stayton,OR,,FALSE
1980,2026,4153,Advantage Funeral and Cremation Services Gateway,Portland,OR,,FALSE
1980,2026,4154,Virgil T Golden Funeral Service,Salem,OR,,FALSE
1980,2026,4155,"Solace Cremation, LLC",Portland,OR,,FALSE
1980,2026,4156,Terry Family Funeral Home,Portland,OR,,FALSE
1980,2026,4157,Howell Edwards Doerksen with Rigdon-Ransom Funeral Directors,Salem,OR,,FALSE
1980,2026,4158,Discount Cremation of Portland,Portland,OR,,FALSE
1980,2026,4159,Wherity Family Funerals & Cremations,Beaverton,OR,,FALSE
1980,2026,4159,Wilson's Chapel of the Roses,Roseburg,OR,,FALSE
